instance_id,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,voice_gender,mode,speechiness,tempo,musician_category,valence,music_genre
MSC_86737.0,I Wanna Be Somebody,69.231,0.000893863,0.310477165,235977.425,0.893819266,0,Scale C Sharp,0.283206287,-7.451,Male,Minor,0.050828903,164.611,Band,0.557724225,Rock
MSC_64882.0,Feelin' Sad,39.264,0.910839151,0.401022094,185250.384,0.222150029,0,Scale F,0.297563269,-13.321,Female,Minor,0.035439565,175.8,Band,0.5695142,Jazz
MSC_79378.0,Magic Love,56.018,0.060173715,0.702751804,221306.255,-1,0.288298043,Scale A,0.296609511,-5.996,Male,Minor,0.053785028,121.017,Band,1.045422679,Jazz
MSC_90939.0,"Clarinet Quintet in B Minor, Op. 115: II. Adagio - Più lento",37.895,1.019818368,0.119268232,726863.483,0.048118874,0.419463949,Scale G,0.2865488,-21.887,Male,Major,0.048278692,80.955,Band,0.039422645,Classical
MSC_35105.0,"Pelleas and Melisande Suite, Op. 46, JS 147: Act V Scene 2: Prelude: Andante",32.922,1.02466342,0.163436248,478311.245,0.010351487,1.048934578,Scale D,0.062654164,-32.601,Female,?,0.043703434,61.581,Band,0.034309821,Classical
MSC_20233.0,Let It All Work Out,73.366,0.023437055,0.605265018,336533.564,0.606527726,0,Scale B,0.320049286,-7.496,Both,?,0.174127787,135.014,Duet,0.462714264,Rap
MSC_70859.0,Highway,61.539,0.000148171,0.482314009,218430.146,1.004421001,3.31E-06,Scale F Sharp,0.094478417,-5.539,Female,Major,0.036151195,154.038,Band,0.743432012,Rock
MSC_23087.0,Hesitation Blues,34.382,0.201190848,0.591754949,259252.927,0.886342987,0.147562593,Scale D,0.089501511,-5.632,Female,Major,0.084058587,119.982,Band,0.743084738,Jazz
MSC_84493.0,El Negro Bembon,43.567,0.894040632,0.638231907,196504.52,0.654813597,1.08E-05,Scale G,0.036034445,-9.607,Both,Minor,0.046481996,91.4,Duet,1.05124329,Jazz
MSC_33704.0,Jealous (feat. Lexii Alijai),65.837,0.24246884,0.596055813,234622.401,0.504693816,0,Scale A,0.108066013,-9.529,Both,Major,0.237066047,115.587,Duet,0.706993997,Rap
MSC_54167.0,Slyd,,0.066994465,0.913550714,277383.244,0.780595076,0.263461537,Scale C,0.232594086,-9.309,Both,Major,0.104930126,120.004,Duet,0.634775933,Electronic
MSC_40350.0,"Thaïs: Thais, Act II: Meditation (version for violin and piano)",38.614,1.000137271,0.210127331,333693.303,0.165613163,0.768588195,Scale E,0.098983392,-18.037,Female,Minor,0.053082449,66.343,Solo,0.040329195,Classical
MSC_54337.0,The Riders of Rohan,51.505,0.818306828,0.08771448,263189.299,-1,0.93181468,Scale G,0.120202177,-15.13,Both,Major,0.044860446,171.288,Duet,0.079908076,Classical
MSC_60690.0,Tristan und Isolde - Concert Version: Liebestod,36.565,1.003131025,0.151588758,473076.754,0.168800271,0.974102478,Scale B,0.133039383,-16.863,Female,Major,0.041248275,93.371,Band,0.033075289,Classical
MSC_26210.0,Oliver's Twist,41.098,0.509728464,0.927147925,247936.536,0.738583998,0.909855258,Scale A Sharp,0.094600268,-10.952,Both,Minor,0.078286883,100.014,NA,0.942723197,Jazz
MSC_59241.0,Liturgical Chants: 2. Four Spiritual Songs: Christmas Song,32.784,1.046118368,0.304795706,105047.794,0.070988667,0.861029933,Scale A Sharp,0.138880244,-31.075,Both,Minor,0.045491189,140.601,Duet,0.087657944,Classical
MSC_63855.0,The Pageant Of The Bizarre,42.38,0.732275602,0.588080595,282469.935,0.513589506,0.002981154,Scale E,0.086567747,-9.644,Female,Major,0.031115273,?,Band,0.143604027,Jazz
MSC_42965.0,I'm In,42.529,0.041519522,0.60269868,-1,0.934316221,0.000174153,Scale F,0.102455909,-6.233,Male,Major,0.047735825,129.98,Solo,0.701247626,Country
MSC_62131.0,Different Colors,57.495,0.00084948,0.52183855,235370.691,0.869453164,1.08E-06,Scale C,0.131539351,-4.871,Both,Major,0.042472269,96,Duet,0.745162641,Rock
MSC_49602.0,Whole Lotta Lovin',62.679,0.169204765,0.466815915,-1,0.429596853,9.11E-06,Scale E,0.070216179,-9.308,Both,Minor,0.066325305,160.159,Duet,0.42797039,Rap
MSC_76148.0,Polish Girl,62.021,0.006476622,0.665485041,285379.136,0.932670776,1.36E-05,Scale A,0.142283512,-4.582,Male,Minor,0.039897507,111.984,Band,0.468590451,Rock
MSC_67639.0,Set Piece,66.98,0.369002263,0.575344823,215571.896,0.526042702,0.420981943,Scale C Sharp,0.120577278,-11.445,Female,Minor,0.055789941,80.73,Band,0.688366448,Rock
MSC_24197.0,Kyrie,61.264,0.036077018,0.754292676,177660.835,0.762649517,0,Scale F Sharp,0.091092358,-6.524,Male,Major,0.258997075,159.915,Solo,0.396285136,Rap
MSC_64049.0,Award Tour,68.316,0.003372474,0.862651445,-1,-1,8.95E-06,Scale G,0.188093096,-9.942,Female,Major,0.272165364,97.338,Band,0.587265699,Jazz
MSC_29784.0,Something Wonderful,48.336,0.111767558,0.663858962,274037.15,0.55599923,0.069454945,Scale A Sharp,0.139200363,-10.555,Male,Minor,0.215266057,?,Solo,0.637514681,Electronic
MSC_38397.0,"Piano Sonata, Op.1",26.441,1.055364341,0.374219275,559149.583,0.095357754,0.952925254,Scale E,0.141264774,-24.005,Male,Minor,0.042428969,92.493,Band,0.038509965,Classical
MSC_53274.0,STAR,68.936,0.16162227,0.817412187,-1,0.408757213,0,Scale C,0.427609345,-9.79,Male,Major,0.29732592,75.01,Solo,0.312942481,Rap
MSC_62289.0,"Moon River (From ""Breakfast at Tiffany's"")",31.288,1.054221684,0.266475291,-1,0.153210079,0.229014041,Scale F,0.09553682,-14.241,Male,Major,0.0403981,71.21,Band,0.089828448,Classical
MSC_35905.0,Demons,52.68,0.140324552,0.721898776,237282.198,0.677346974,0,Scale B,0.705736357,-8.037,NA,Major,0.048399088,111.975,Band,0.346500281,Rap
MSC_61711.0,Stars (Live at Montreux),50.286,1.008842694,0.54126239,419936.528,0.063572898,0,Scale D,0.341154824,-19.201,Male,Major,0.051258718,113.26,Band,0.138857194,Jazz
MSC_70253.0,Red Dust,43.798,0.493806952,0.628518335,370225.097,0.438077705,0.924568897,Scale E,0.148418994,-11.218,Both,Major,0.029755797,86.004,Duet,0.210031763,Jazz
MSC_85395.0,Ray Ban Vision - Casper & B. Remix,61.983,0.006852848,0.772854365,242735.786,0.750987918,0,Scale D,0.117559411,-6.107,Female,Major,0.076878689,81.016,Solo,0.601518257,Electronic
MSC_47884.0,Ay Ay Ay,39.836,0.027884006,0.715980446,429972.327,0.634185333,0.620075492,Scale A,0.111635924,-8.989,Male,Minor,0.039117435,91.011,Solo,0.443997774,Jazz
MSC_64633.0,Dos Gardenias,,0.876531268,0.591175128,193917.175,0.187866565,0.000118368,Scale E,0.130354786,-19.609,Male,Minor,0.044336326,92.067,Solo,0.546298294,Jazz
MSC_23333.0,The What,61.039,0.195473824,0.683134589,252620.377,-1,0,Scale A Sharp,0.114453105,-8.785,Male,?,0.452048125,173.396,Solo,0.78677124,Rap
MSC_51339.0,A Knife in the Dark,53.942,0.97341875,0.129582507,228979.906,0.388334557,0.829798231,Scale A Sharp,0.149868815,-16.333,Both,Major,0.05719801,75.039,Duet,,Classical
MSC_81593.0,Thug Passion,57.815,0.158031359,,334887.918,0.852278409,0,Scale G,0.276679239,-3.992,Both,Major,0.248636628,92.008,Duet,0.725114467,Rap
MSC_66784.0,All K,55.354,0.026522612,0.980224503,211718.751,0.357247445,0,Scale C Sharp,0.08639342,-11.772,Both,?,0.508882265,140.004,Duet,0.729867245,Rap
MSC_29651.0,The Watcher,50.499,1.022485475,0.509505899,356867.959,0.327015059,0.952752987,Scale D,0.108375785,-15.733,Female,Minor,0.043105997,123.86,Band,0.376358964,Classical
MSC_43894.0,Hey Daddy (Daddy's Home),63.033,0.000186311,0.621425431,236219.646,0.760438481,0,Scale B,0.113339072,-4.606,Both,Major,0.031176539,95.975,NA,0.370544406,Hip-Hop
MSC_21930.0,Baby Hold On,60.133,0.16477114,0.6859897,225071.258,0.688238735,1.31E-06,Scale D,0.051153384,-13.594,Female,Major,0.053743069,120.316,Band,0.905323959,Rock
MSC_75929.0,Levels,65.379,0.05340052,0.472405391,178706.863,0.690568799,0,Scale F,0.269103547,-5.025,Male,?,0.456463607,199.232,Solo,0.724771257,Rap
MSC_20149.0,The Jumpin' Jive,40.088,1.03705371,0.729254924,182832.382,0.414815607,0.000208911,Scale F,0.144110733,-16.559,Male,Minor,0.131112321,?,Solo,0.816468764,Jazz
MSC_26527.0,"Gorecki: Symphony No. 3 Op. 36, ""Symphony of Sorrowful Songs"": II. Lento e largo - Tranquillissimo (Excerpt)",,0.776751588,0.086606683,291347.301,0.149270413,0.08143365,Scale C Sharp,0.111579272,,Both,Major,0.048376871,82.295,NA,0.03817994,Classical
MSC_88418.0,hold on,67.294,0.050726725,0.661908254,222983.478,0.957656462,0.001039539,Scale G Sharp,0.125286928,-5.064,Male,Major,0.047393412,111.967,Solo,0.584121353,Rock
MSC_38706.0,Birth,49.477,1.035362272,0.418236757,395850.711,0.129145836,0.736339327,Scale F,0.105577678,-19.638,Both,?,0.041856684,103.886,Duet,0.194597973,Jazz
MSC_55677.0,Lust,65.79,0.042698799,0.896064354,178226.672,0.778390813,0,Scale C Sharp,0.156579441,-1,Male,Major,0.126449441,106.976,Solo,0.046140781,Rap
MSC_35513.0,"Symphony No.5 In C Minor, Op.67: 2. Andante con moto",34.919,1.019181533,0.142970204,615651.828,0.036317021,0.595115119,Scale G Sharp,0.091012487,-22.471,NA,Major,0.041468752,170.683,Duet,0.050438043,Classical
MSC_43093.0,Fly Me to the Moon,41.703,0.959735663,0.574401937,292141.229,0.328861566,0.809178225,Scale F,0.109190118,-17.421,Female,Major,0.033954471,?,Band,0.495404396,Jazz
MSC_38470.0,John The Fisherman,60.449,0.000783331,0.650488436,227857.938,0.996370609,0.00650901,Scale B,0.049464733,-3.291,Both,Minor,0.066126977,?,Duet,0.960582247,Rock
MSC_88198.0,The Killing Moon,69.418,0.144753041,0.573328387,369569.762,0.933261742,0.035985398,Scale G,0.315972758,-5.044,Female,Major,0.039080193,124.216,Solo,0.775591946,Rock
MSC_63171.0,Goodbye Kiss,35.199,0.091725784,0.667998333,266291.05,0.902069577,0,Scale G,0.657896689,-5.222,Female,Major,0.046418833,123.01,Band,0.925074712,Electronic
MSC_64382.0,Ashes of Eden,68.522,0.060200564,0.26421804,311656.15,0.563537119,2.26E-06,Scale D Sharp,0.108813475,-7.902,Both,Major,0.035188224,159.974,Duet,0.304695992,Rock
MSC_61438.0,Inside,56.761,0.172743657,0.748217749,118256.043,0.593095389,0,Scale A,0.165058804,-10.564,Both,Minor,0.336470564,142.028,Duet,0.399009042,Rap
MSC_21651.0,out for the night,78.408,0.001061262,0.885309152,-1,0.735168086,4.53E-05,Scale A,0.206829072,-6.047,Female,Major,0.4412812,173.368,Band,0.438849029,Rap
MSC_41319.0,"The Nutcracker, Op. 71: Act I Tableau 1: March",31.13,1.01577951,0.616993741,160454.592,0.133566191,1.01207661,Scale E,0.085561137,-26.858,Female,Minor,0.041954118,143.498,Solo,0.522350095,Classical
MSC_58664.0,Bulletproof,66.547,0.000214608,0.425175605,194253.608,0.981879845,0,Scale F,0.170174453,-3.549,Male,Minor,0.140204854,162.253,Band,0.701641157,Rap
MSC_51737.0,Für Elise,23.213,1.081069827,0.293884289,197473.772,0.015967111,0.986590502,Scale A,0.077324897,-37.312,Female,Minor,0.043381663,135.621,Band,0.277286449,Classical
MSC_75211.0,No Tires La Primera Piedra,44.322,0.567683635,0.815418408,311263.186,0.841948422,3.42E-05,Scale E,0.145400873,-4.138,Female,Minor,0.047196977,97.747,Solo,0.769367524,Jazz
MSC_51101.0,"Lord Byron - Symphonic Portrait, Op.67: VIII. Epilogue",29.774,0.955757427,,126940.363,0.048113389,0.739453745,Scale C,0.100322262,-24.737,Female,Major,0.041075697,64.433,Band,0.038003696,Classical
MSC_59043.0,All The Girls Wanna Ride,57.427,0.056495288,,219488.479,0.6749154,0,Scale A,0.153363231,-1,Male,Minor,0.079291867,180.008,Band,0.496305049,Rap
MSC_35970.0,40 Day Dream,62.427,0.25016215,0.625364032,251582.891,0.71349904,0,Scale D,0.068770656,-6.266,Both,Major,0.061647319,81.952,Duet,0.715771379,Rock
MSC_88055.0,Brace Brace,,0.639488696,0.607297939,446118.518,0.659009534,1.017803141,Scale C Sharp,0.124128893,-9.686,Both,Minor,0.030986888,119.995,Duet,0.191072781,Electronic
MSC_87125.0,Le Sacre du Printemps / Pt 1: L'Adoration de la Terre: Introduction,36.25,1.031766122,0.094951871,232892.221,0.039318833,1.03018326,Scale E,0.0858074,-30.817,Both,?,0.048921204,84.479,Duet,0.039240093,Classical
MSC_77067.0,Let You Go,42.638,0.540570174,0.491841491,344477.289,0.641293382,8.77E-05,Scale G Sharp,0.217414178,-4.859,Both,Major,0.038800028,134.933,Duet,0.175672423,Country
MSC_72690.0,How,58.482,0.002197886,0.419540224,340608.907,0.812704104,0.728228219,Scale G,0.071323741,-5.974,Male,Minor,0.041671344,151.883,Solo,0.06179847,Rock
MSC_49341.0,Or Nah (feat. Wiz Khalifa and DJ Mustard),60.549,0.059808664,0.908919398,272529.674,0.351662757,0,Scale E,0.130775454,-9.969,Both,Major,0.050952752,121.974,Duet,0.081530212,Hip-Hop
MSC_86847.0,Only Want U,49.621,0.009067073,0.622364411,284915.703,0.999880675,0.021425561,Scale F Sharp,0.105125274,-3.825,Both,Minor,0.211543108,154.008,Duet,0.22935005,Electronic
MSC_44932.0,Halo,69.661,3.15E-05,0.569600828,207828.395,0.973833825,0.002197737,Scale D Sharp,0.062260965,-4.458,Female,Major,0.07078467,111.132,NA,0.476817116,Rock
MSC_26828.0,Problem Wit It (feat. DJ Paul),49.775,0.282733308,0.936923084,274904.742,-1,0.001815586,Scale C,0.731240262,-8.54,Both,Major,0.059021906,119.988,Duet,0.394988273,Country
MSC_56038.0,All On Me,76.498,0.148509531,0.682141805,238678.883,0.704000135,0,Scale F,0.233928202,-5.944,Female,Major,0.031686019,80.989,Band,0.685504441,Country
MSC_30260.0,Through The Wire,73.668,0.009292462,0.623354604,235009.298,0.787002569,5.69E-06,Scale G,0.167408939,-6.573,Female,Major,0.25967754,83.089,Band,,Rap
MSC_47866.0,"Sevenlere dair, Op. 12/3",43.969,1.054263399,0.335614785,267652.777,0.161800071,0.952316906,Scale B,0.049177293,-21.083,Female,?,0.041861028,111.222,Solo,,Classical
MSC_66370.0,"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",45.372,1.09378525,0.487258293,146793.873,0.027206811,0.923632056,Scale D Sharp,0.107022941,-38.111,Male,Major,0.066967015,74.137,Band,0.183831686,Classical
MSC_54280.0,"Concerto No. 5 for Piano and Orchestra, K. 175: III. Allegro",36.288,1.027793045,0.313601422,333771.368,-1,0.824019366,Scale D,0.157576629,-27.693,NA,Major,0.039516696,134.963,Band,0.471557097,Classical
MSC_58247.0,Cigarette,59.848,0.134282424,0.718579424,199446.236,0.84820863,0,Scale D,0.125192893,-7.365,Female,Major,0.033551783,124,Band,0.965152928,Rock
MSC_67763.0,Little One,63.095,0.01292151,0.514591778,263822.046,0.383952351,7.78E-06,Scale G,0.121850275,-1,Female,Major,0.031177936,139.827,Band,0.112736005,Rock
MSC_71930.0,"String Quartet No. 12 in F Major, Op. 96 'The American': IV. Vivace",,0.92056553,0.305845091,362867.996,0.077195897,0.653351397,Scale C,0.127975878,-21.019,Male,Major,0.045291599,78.037,Band,0.27389444,Classical
MSC_49463.0,Intergalactic - Remastered,75.184,0.02346322,,251211.758,0.907589864,1.07E-05,Scale D,0.265604285,-6.481,Both,Major,0.331300181,105.933,Duet,0.515215462,Rock
MSC_69879.0,November 18th,76.735,0.634078314,0.787772135,205039.856,0.507233017,,Scale B,0.106951478,-11.916,Male,?,0.557072931,71.937,Solo,,Rap
MSC_60106.0,Symphony No. 8: I. Allegro moderato,25.572,0.98907383,0.085288061,1028686.488,0.093168789,0.810552881,Scale C Sharp,0.12723879,-22.143,Both,?,0.047627644,62.945,Duet,0.03957113,Classical
MSC_44425.0,Ohio (Come Back To Texas),55.933,8.02E-05,0.440196782,,0.811165572,0,Scale B,0.10613855,-5.073,Male,Major,0.05305922,150.094,Band,0.870186916,Rock
MSC_32691.0,Scholarships,67.556,0.102442944,0.596614475,224491.863,0.437375434,1.29E-05,Scale C,0.107445263,-9.827,Male,Minor,0.405149786,83.726,Solo,0.270862297,Hip-Hop
MSC_34113.0,"Violin Concerto No. 2, Sz 112: Violin Concerto No. 2, Sz 112: I. Allegro non troppo",33.085,0.94734439,0.240360749,999723.718,0.113004974,0.745070069,Scale D,0.103255278,-24.63,Both,?,0.047277972,85.379,Duet,0.064326394,Classical
MSC_91032.0,Saturday Night Special,47.34,0.359269117,0.762033987,219178.158,0.518023106,0,Scale C Sharp,0.096290757,-12.833,Both,Minor,0.046623572,102.93,Duet,0.650506976,Country
MSC_33796.0,All Would Envy,38.34,0.562908787,0.654173669,326320.892,0.633065152,0.007541941,Scale E,0.075300035,-11.187,Both,Minor,0.039447716,82.875,Duet,0.466286025,Jazz
MSC_34486.0,Nascar,64.954,0.026778213,0.894616619,190579.187,0.808073922,1.13E-06,Scale A,0.111750191,-5.214,Female,Major,0.178433187,172.962,Band,0.406112293,Rap
MSC_26609.0,Bad Company (feat. BlocBoy JB),73.648,0.072469253,0.965712314,198309.292,0.559864759,0,Scale G Sharp,0.569528688,-8.342,Male,Major,0.437460829,144.941,Solo,0.371772316,Rap
MSC_32190.0,Darling,70.917,0.009355703,0.631221048,-1,0.978023737,0.007248743,Scale C,0.11080792,-5.889,Female,Major,0.027862976,132.994,Band,0.618706866,Rock
MSC_38843.0,Lit (feat. Ty Dolla $ign),56.531,0.220735064,0.655919942,-1,0.669147923,5.36E-06,Scale C Sharp,0.187371981,-6.557,Both,Minor,0.189248538,113.052,Duet,0.285003807,Rap
MSC_67913.0,Think Twice,46.666,0.110135562,0.82083957,292479.386,0.918520122,0.506091706,Scale C,0.342510655,-1,Both,Major,0.039967031,?,Duet,0.862674545,Jazz
MSC_87564.0,Tempted,61.796,0.107407465,0.783044149,261305.322,0.383930332,0.16625513,Scale F Sharp,0.056241147,-15,Male,Minor,0.035183182,95.257,Band,0.487007906,Rock
MSC_44808.0,Breaking Up Is Hard to Do,59.796,0.743228997,0.803916373,152260.621,0.858487311,0,Scale G Sharp,0.067310125,-5.889,Male,Minor,0.040769481,?,Solo,1.013746633,Rock
MSC_60599.0,Hopeful,38.222,0.427272949,0.794493408,96460.423,0.331134618,0.916140504,Scale E,0.042358756,-11.326,Both,Minor,0.09722918,74.046,Duet,0.645043045,Jazz
MSC_59547.0,Montana,45.663,0.075866084,0.497234703,420242.258,0.605479318,0.000588705,Scale E,0.18625006,-11.876,Both,Major,0.170207297,171.775,Duet,0.83058623,Jazz
MSC_81554.0,Going 'Round,59.435,0.166795642,0.570974208,229569.811,0.965964969,0,Scale B,0.279599659,-4.079,Both,Minor,0.04508825,?,Duet,0.453825327,Country
MSC_79908.0,Bicycle Race,55.83,0.078978162,0.412191401,193131.211,0.597432157,1.09E-06,Scale A Sharp,0.030861934,-11.466,Male,Minor,0.086788728,164.862,Band,0.752738157,Rock
MSC_55462.0,Jesus Christ,55.704,0.870379352,0.520426248,140479.894,0.409707661,0,Scale F,0.477787746,-12.853,Male,Major,0.331576758,169.872,Band,0.603979051,Rap
MSC_35966.0,Comfort Zone,30.315,0.450343324,0.928493144,320274.006,0.771212584,0.644574238,Scale A Sharp,0.115738168,-9.415,NA,Major,0.043629732,115.002,Solo,0.836227829,Jazz
MSC_28571.0,Ex Factor / Nice For What,47.847,0.718584848,0.593932149,-1,0.291470592,0,Scale F,0.110278918,-11.975,Both,Minor,0.266039723,86.112,Duet,0.551201057,Jazz
MSC_58475.0,"Piano Sonata No. 10 in C Major, K. 330: I. Allegro moderato",0,1.047657985,,389841.522,0.032496825,0.982386866,Scale C,0.074675165,-32.114,Female,Major,0.042666558,141.49,Solo,0.666172162,Classical
MSC_76207.0,Chasin' You,65.876,0.71967425,0.662658449,216008.081,0.639248936,0,Scale G,0.11821715,-6.116,Both,Major,0.029610707,97.067,Duet,0.530417396,Rock
MSC_49783.0,Why You Always Hatin?,71.135,0.0422,0.999996164,212963.085,0.368052152,0,Scale C,0.149664869,-9.819,Both,Minor,0.640637697,92.995,Duet,0.40176079,Rap
MSC_32441.0,"Andante spianato and Grande polonaise in E flat, Op.22 : Andante spianato. Tranquillo -",29.496,1.08082903,0.197181004,320496.131,0.010237174,1.036401651,Scale G,0.070662101,-39.687,Both,Major,0.044874616,70.524,Duet,0.075537327,Classical
MSC_33651.0,Alleluia,37.453,1.043141746,0.090431754,606354.828,0.116358623,0.449380297,Scale C Sharp,0.105559035,-24.571,Male,Major,0.047831593,80.666,Solo,0.034755412,Classical
MSC_58876.0,"St. Matthew Passion, BWV 244, Pt. 2: No. 62, Wenn ich einmal soll scheiden",0,1.047825553,0.205532393,114192.922,0.008302843,0.710344757,Scale G Sharp,0.112393767,-38.291,Both,Minor,,78.69,Duet,0.129298773,Classical
MSC_63951.0,"Me, Myself & I",83.93,0.019941227,0.803360824,270160.42,0.731438687,0,Scale C,0.166353663,-6.951,Both,Minor,0.103121292,111.996,NA,0.417155396,Rap
MSC_70954.0,Out Of Nowhere,34.709,0.850144511,0.522624888,-1,0.453870758,0.076135341,Scale G,1.057338379,-15.295,Both,Major,0.045704586,107.948,Duet,0.694059955,Jazz
MSC_68066.0,What Kind Of Fool Do You Think I Am,58.346,0.120788633,0.738385482,228808.12,0.668156786,5.81E-05,Scale G,0.124261532,-11.203,Female,?,0.031661406,112.485,Solo,0.831372391,Rock
MSC_66896.0,Classical Thump,36.897,0.422197331,0.505154988,301374.702,0.800213587,,Scale D,0.132972339,-13.312,Both,Major,0.05625611,131.113,Duet,0.592869672,Jazz
MSC_36432.0,"Haydn: Piano Sonata in B Minor, Hob. XVI: 32: II. Menuetto",26.312,1.085577061,0.243866096,231896.508,0.105092563,0.984513564,Scale B,0.123599715,-30.633,Female,?,0.041273642,95.355,Solo,0.291129502,Classical
MSC_37299.0,Headbangers Ballroom,44.283,2.50E-06,0.439382644,318305.531,0.948416145,0.016523974,Scale B,0.085469473,-1,Female,Major,0.044888589,145.039,Band,0.648232775,Classical
MSC_37494.0,"Moving to the Ghetto Oct. 31, 1940",35.984,0.988635008,0.165743718,114285.025,0.002232251,0.854083796,Scale A,0.104794999,-44.319,Both,Minor,0.046312071,100.571,Duet,0.403511932,Classical
MSC_76941.0,Who Made Who,63.303,0.000304954,0.552200578,222097.29,0.901749035,0.321531601,Scale C,0.649729807,-5.614,Both,Major,0.051504335,125.273,Duet,0.70928757,Rock
MSC_51081.0,I Need You,57.703,0.038861592,,437335.911,0.359837659,0.00030811,Scale G,0.043274386,-1,Female,?,0.034588161,118.782,Band,0.399625732,Rock
MSC_39072.0,Muy Tranquilo,64.286,0.2570736,0.703868118,256838.317,,0.032577383,Scale G,0.18779901,-4.174,Female,?,0.056735962,89.926,Band,0.820919454,Jazz
MSC_73276.0,Soldiers of the Wastelands,40.247,6.37E-05,0.190709237,618899.664,1.037685076,0.001256557,Scale B,0.069786517,-6.648,Both,Minor,0.163978599,199.992,Duet,0.157098524,Classical
MSC_83573.0,Apple Blossom,51.422,0.708662873,0.588678614,143513.915,0.495516913,0.000150916,Scale A,0.094800913,-8.316,Male,Major,0.057690354,128.201,Solo,0.673575142,Rock
MSC_46109.0,That's The Way Of The World,38.154,0.766729356,0.621219831,366056.616,0.648690556,0.003711762,Scale F Sharp,0.511482426,-9.555,Male,Major,0.050908905,82.104,Solo,0.770630538,Jazz
MSC_83442.0,Damn! - Club Mix,53.511,0.015770435,0.879668744,314010.734,0.77404214,0,Scale E,0.380086881,-6.195,Female,?,0.310851169,84.03,Solo,0.524657903,Hip-Hop
MSC_48772.0,Angel,73.143,0.002648713,0.467052553,216444.214,0.912094523,0,Scale B,0.090373447,-5.873,Male,Minor,0.045558926,76.001,Band,0.482169484,Rap
MSC_24224.0,WHEN I THINK ABOUT IT,55.942,0.146467681,0.559112598,197835.36,0.704018189,0,Scale F Sharp,0.146338138,-7.176,Female,Minor,0.158621407,155.073,Band,0.542408949,Rap
MSC_90307.0,Sweet Annie,61.782,0.179606902,0.675026421,-1,0.468652739,1.20E-06,Scale F Sharp,0.114842885,-8.517,Male,Major,0.032459129,139.976,Band,0.180900251,Rock
MSC_43775.0,Salome,40.767,0.29171033,0.778779609,220112.925,0.885460236,4.30E-06,Scale D,0.374387792,-5.276,Both,Minor,0.403027088,82.536,Duet,0.698372718,Jazz
MSC_59854.0,for me 01,43.682,0.590723685,0.603858165,-1,0.199409474,0.651434652,Scale D Sharp,0.092310031,-25.519,Both,Major,0.052007993,76.148,NA,0.93704196,Jazz
MSC_41896.0,"Air on a G String (from Suite No.3, BWV 1068)",41.112,1.088456741,0.486515209,306514.513,0.174242993,0.979239512,Scale D,0.094313623,-18.915,Male,Major,0.05110785,135.756,Band,0.300192977,Classical
